Produit;Catégorie;Prediction_Categorie
pomme golden 1kg;Fruits & Légumes;Fruits & Légumes
coca cola 15l;Boissons;Boissons
shampoing dop 250ml;Hygiène;Fruits & Légumes
banane 1kg;Fruits & Légumes;Fruits & Légumes
orange jus 1l;Boissons;Fruits & Légumes
dentifrice signal;Hygiène;Fruits & Légumes
thon albacore; Poisson & Fruits de mer;Poisson & Fruits de mer
fil sard citro; Poisson & Fruits de mer       ;Fruits & Légumes
flt sardinhle; Poisson & Fruits de mer                    ;Fruits & Légumes
150g pecol cho lt;Épicerie sucrée                  ;Fruits & Légumes
192g maltesers p;Épicerie sucrée     ;Fruits & Légumes
sauce tartare;Épicerie salée          ;Fruits & Légumes
brownchocno;Épicerie sucrée         ;Fruits & Légumes
ketchup carre;Épicerie salée          ;Épicerie salée
500g ta basmati 01;Épicerie salée     ;Fruits & Légumes
avocat piece; Fruits & Légumes                       ;Fruits & Légumes
banane crf bio remise; Fruits & Légumes ;Fruits & Légumes
bf entrecote; Viandes & Charcuterie     ;Fruits & Légumes
bf faux filet; Viandes & Charcuterie   ;Fruits & Légumes
boc37cl olive vrt;Épicerie salée      ;Fruits & Légumes
champignons blanc; Fruits & Légumes      ;Fruits & Légumes
citron vert piece; Fruits & Légumes                  ;Fruits & Légumes
comte rape entrht; Produits laitiers      ;Fruits & Légumes
concombre piece; Fruits & Légumes                   ;Fruits & Légumes
edam px rond; Produits laitiers            ;Fruits & Légumes
filet poulet blanc; Viandes & Charcuterie    ;Viandes & Charcuterie
flt merlan; Poisson & Fruits de mer             ;Fruits & Légumes
flts de maq vb cit; Poisson & Fruits de mer    ;Viandes & Charcuterie
nectarine simpl 1k; Fruits & Légumes             ;Fruits & Légumes
oy 400g sce basili;Épicerie salée     ;Fruits & Légumes
sacspoubelle noir; Entretien / Ménage      ;Épicerie sucrée
tarte citron meringuee; Boulangerie & Pâtisserie;Fruits & Légumes
filet de lieu; Poisson & Fruits de mer;Viandes & Charcuterie
petit pain classique; Boulangerie & Pâtisserie;Fruits & Légumes
aiguillettes de poulet; Viandes & Charcuterie ;Viandes & Charcuterie
sauce 3 fromages;Épicerie salée;Épicerie salée
ile flottante gourmande; Produits laitiers ;Fruits & Légumes
radis rose botte; Fruits & Légumes;Fruits & Légumes
auchan beur tendr plat; Produits laitiers;Fruits & Légumes
tomates ronde en grappe; Fruits & Légumes ;Fruits & Légumes
pain de mie nature 280; Boulangerie & Pâtisserie;Fruits & Légumes
concombre piece; Fruits & Légumes;Fruits & Légumes
m t brioche gache purb 40; Boulangerie & Pâtisserie;Fruits & Légumes
jockey nature 3 8x90g; Produits laitiers;Produits laitiers
danone nature 4x125g; Produits laitiers;Produits laitiers
brossard savane pocket cac; Épicerie sucrée;Fruits & Légumes
banane cavendish vrac prem; Fruits & Légumes ;Fruits & Légumes
cahier passeport primaire; Maison & Loisirs;Fruits & Légumes
nettcuissdb 5en1 cif p750ml; Entretien / Ménage  ;Fruits & Légumes
lor espressplendente capx20; Épicerie sucrée       ;Fruits & Légumes
creme vanille mont blanc 576g; Épicerie sucrée       ;Fruits & Légumes
confcerises noires maman 370g; Épicerie sucrée      ;Fruits & Légumes
sirop fraise u bidon 75cl; Boissons           ;Fruits & Légumes
pur jus orange u ll; Boissons                 ;Fruits & Légumes
coca cola pet 50cl; Boissons                  ;Boissons
salvetat citron mediterr1l; Boissons       ;Boissons
coeur laitue u 200g; Fruits & Légumes                 ;Fruits & Légumes
frites u sachet kg; Surgelés                  ;Fruits & Légumes
la baguette tradition; Boulangerie & Pâtisserie               ;Fruits & Légumes
cuisse de lapin; Viandes & Charcuterie;Viandes & Charcuterie
noix de veau a escalope; Viandes & Charcuterie                      ;Fruits & Légumes
mousse pur canard 1 tranche pe; Viandes & Charcuterie      ;Fruits & Légumes
comte aop 18ms i minusav; Produits laitiers     ;Fruits & Légumes
filet de poulet xxl; Viandes & Charcuterie  ;Viandes & Charcuterie
noix seches; Fruits & Légumes;Fruits & Légumes
pommes de terre 15 kg; Fruits & Légumes;Fruits & Légumes
endive; Fruits & Légumes ;Fruits & Légumes
chupa chups the best of st192g; Épicerie sucrée ;Fruits & Légumes
baguette millavoise 6 graines; Boulangerie & Pâtisserie;Fruits & Légumes
biscotte au ble complet u 300g; Épicerie sucrée;Fruits & Légumes
essuiett blc xxl okay x2 rlx; Entretien / Ménage;Fruits & Légumes
liqvslmns amandarbvt 500 ml; Entretien / Ménage;Fruits & Légumes
eau javel traditlacroix 15l; Entretien / Ménage;Boissons
mouchoriginal kleenex minix15; Entretien / Ménage;Fruits & Légumes
pate a tarte feuilletee u 230g; Épicerie sucrée;Fruits & Légumes
flt limandnord meunieru 200g; Poisson & Fruits de mer;Fruits & Légumes
paves de porc; Viandes & Charcuterie  ;Fruits & Légumes
galettes sarrasin u biox4 200g; Boulangerie & Pâtisserie;Fruits & Légumes
jbon supac vpf u 4tr; Viandes & Charcuterie;Fruits & Légumes
pdt rissolees u bio st 600g; Fruits & Légumes;Fruits & Légumes
bad soin clasmed42mm signal; Hygiène;Fruits & Légumes
telemagazine; Maison & Loisirs;Fruits & Légumes
cuisine plt jne dejointee u x2; Surgelés;Fruits & Légumes
dolce pizza campansodebo 380g; Surgelés;Fruits & Légumes
endive x4; Fruits & Légumes;Fruits & Légumes
boulettes au boeuf vanilla; Viandes & Charcuterie;Épicerie sucrée
viande hachee 350g; Viandes & Charcuterie;Fruits & Légumes
lait demiecreme; Produits laitiers;Produits laitiers
nettoyant jaune; Entretien / Ménage;Fruits & Légumes
concombre; Fruits & Légumes;Fruits & Légumes
tortilla wraps xxl; Épicerie sucrée;Fruits & Légumes
pave rustique; Boulangerie & Pâtisserie;Fruits & Légumes
roquefort pavillon tranche; Produits laitiers ;Fruits & Légumes
comte aoc 4 a 6 mois; Produits laitiers ;Fruits & Légumes
saucisson domaine mezenc 2; Viandes & Charcuterie;Fruits & Légumes
bavette daloyau x 1; Viandes & Charcuterie;Fruits & Légumes
noix quasi escalope x1; Viandes & Charcuterie;Fruits & Légumes
kritsen saumon fume norveg; Poisson & Fruits de mer;Fruits & Légumes
escalope de dinde loue x2; Viandes & Charcuterie;Fruits & Légumes
rotti de dinde loue x2; Viandes & Charcuterie ;Fruits & Légumes
fleury jbon le sup sc 4tr; Viandes & Charcuterie;Viandes & Charcuterie
goudale ancien; Produits laitiers;Fruits & Légumes
carottes paysan; Fruits & Légumes;Fruits & Légumes
pomme de terre blanche; Fruits & Légumes ;Fruits & Légumes
